ID,Title,NumSections,SectionHeaders
IRS-2019-0055-0055,"Federal Register, Volume 86 Issue 188 (Friday, October 1, 2021)",3,"[Federal Register Volume 86, Number 188 (Friday, October 1, 2021)] | SUMMARY: This document contains corrections to the final regulations | FOR FURTHER INFORMATION CONTACT: Concerning Sec. Sec.  1.861-8 and"
IRS-2019-0056-0047,"Federal Register, Volume 85 Issue 155 (Tuesday, August 11, 2020)",1,Main Content
IRS-2019-0057-0017,"Federal Register, Volume 85 Issue 250 (Wednesday, December 30, 2020)",13,Background | I. Overview | II. Publicly Held Corporation | III. Covered Employee | IV. Applicable Employee Remuneration | V. Privately Held Corporations That Become Publicly Held | VI. Grandfather Rule | VII. Coordination With Section 409A | VIII. Applicability Dates | I. Regulatory Planning and Review | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism
IRS-2019-0058-0003,"Federal Register, Volume 85 Issue 246 (Tuesday, December 22, 2020)",3,Background | I. Applicability Date | II. Coordination With Financial Institutions
IRS-2019-0059-0008,"Federal Register, Volume 85 Issue 239 (Friday, December 11, 2020)",11,Background | I. Overview | II. Comments on and Revisions to Proposed Sec.  1.863-1--Allocation of | III. Comments on and Revisions to Proposed Sec.  1.865-3--Source of | IV. Comments on the Rules for Determining the Location or Existence of | V. Comments on Income Tax Treaties | VI. Comment on Proposed Applicability Date | I. Paperwork Reduction Act | II. Regulatory Flexibility Act | III. Unfunded Mandates Reform Act | IV. Executive Order 13132: Federalism
IRS-2020-0001-0009,"Federal Register, Volume 85 Issue 194 (Tuesday, October 6, 2020)",6,Background | I. Regulatory Planning and Review | II. Regulatory Flexibility Act | III. Paperwork Reduction Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism
IRS-2020-0002-0018,"Federal Register, Volume 85 Issue 197 (Friday, October 9, 2020)",2,"Background | I. Therefore, under section 274(e)(3)(B) and paragraph (c)(2)(ii)(C)(2)"
IRS-2020-0002-0019,"Federal Register, Volume 85 Issue 244 (Friday, December 18, 2020)",1,Main Content
IRS-2020-0003-0009,"Federal Register, Volume 85 Issue 198 (Tuesday, October 13, 2020)",1,Main Content
IRS-2020-0005-0023,"Federal Register, Volume 85 Issue 138 (Friday, July 17, 2020)",1,Main Content
IRS-2020-0006-0021,"Federal Register, Volume 85 Issue 232 (Wednesday, December 2, 2020)",7,Background | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Congressional Review Act | V. Unfunded Mandates Reform Act | VII. Executive Order 13132: Federalism
IRS-2020-0006-0022,"Federal Register, Volume 86 Issue 28 (Friday, February 12, 2021)",1,Main Content
IRS-2020-0006-0023,"Federal Register, Volume 86 Issue 28 (Friday, February 12, 2021)",1,Main Content
IRS-2020-0007-0014,"Federal Register, Volume 85 Issue 202 (Monday, October 19, 2020)",1,Main Content
IRS-2020-0008-0032,"Federal Register, Volume 86 Issue 11 (Tuesday, January 19, 2021)",6,"Background | I. Denial of Deduction for Certain Fines, Penalties, and Other Amounts | II. Reporting Information for Certain Fines, Penalties, and Other | I. Regulatory Planning and Review--Economic Analysis | I. Summary of Economic Effects | II. Economic Analysis of Specific Provisions"
IRS-2020-0010-0005,"Federal Register, Volume 85 Issue 182 (Friday, September 18, 2020)",1,Main Content
IRS-2020-0011-0003,"Federal Register, Volume 85 Issue 231 (Tuesday, December 1, 2020)",7,"I. Overview | II. Eligibility for, and Computation of, the Premium Tax Credit | III. Reconciliation of Advance Credit Payments With the Premium Tax | IV. Income Tax Return Filing Requirements Related to the Premium Tax | V. Notice 2018-84 | VI. Proposed Regulations | VII. Final Regulations"
IRS-2020-0012-0006,"Federal Register, Volume 85 Issue 191 (Thursday, October 1, 2020)",1,Main Content
IRS-2020-0013-0091,"Federal Register, Volume 86 Issue 10 (Friday, January 15, 2021)",14,Background | I. Overview | II. General Credit Provisions | III. Definitions | IV. Utilization of Qualified Carbon Oxide | I. Commercial Market | V. Credit Recapture | VI. Miscellaneous Issues | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2020-0013-0093,"Federal Register, Volume 86 Issue 59 (Tuesday, March 30, 2021)",1,Main Content
IRS-2020-0014-0005,"Federal Register, Volume 85 Issue 198 (Tuesday, October 13, 2020)",5,Background | I. Exemption Amount | II. Support Test | III. Credit for Other Dependents | IV. Administrative Action
IRS-2020-0017-0017,"Federal Register, Volume 86 Issue 11 (Tuesday, January 19, 2021)",14,"Background | I. Scope of Final Regulations | II. Definitions | III. Remuneration | IV. Excess Remuneration | V. Excess Parachute Payments | VI. Calculation, Reporting, and Payment of the Tax | VII. Applicability Date | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act"
IRS-2020-0017-0018,"Federal Register, Volume 86 Issue 85 (Wednesday, May 5, 2021)",1,Main Content
IRS-2020-0018-0023,"Federal Register, Volume 85 Issue 232 (Wednesday, December 2, 2020)",18,I. Overview | II. Section 1031 After the TCJA | III. Current Regulations Regarding ``Like Kind'' | IV. Identification of Exchanged Properties | V. Recognition of Gain or Loss on Actual or Constructive Receipt of | VI. Proposed Regulations | I. Overview | II. Definition of Real Property | I. Applicability of Distinct Asset Test to Three-Property Rule in Sec. | III. Incidental Property Rule | IV. Comments That Exceed the Scope of the Final Regulations | V. Correction to Preamble of Proposed Regulations Regarding Kind or | I. Regulatory Planning and Review--Economic Analysis | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism | VI. Congressional Review Act
IRS-2020-0018-0024,"Federal Register, Volume 86 Issue 33 (Monday, February 22, 2021)",1,Main Content
IRS-2020-0019-0017,"Federal Register, Volume 85 Issue 242 (Wednesday, December 16, 2020)",1,Main Content
IRS-2020-0019-0018,"Federal Register, Volume 86 Issue 77 (Friday, April 23, 2021)",1,Main Content
IRS-2020-0019-0019,"Federal Register, Volume 86 Issue 80 (Wednesday, April 28, 2021)",1,Main Content
IRS-2020-0020-0002,"Federal Register, Volume 85 Issue 131 (Wednesday, July 8, 2020)",13,The text of these temporary regulations also | I. NOL Carrybacks and Carryovers Under Section 172 | II. Consolidated Return Regulations | I. In General | II. Amended Statute Split-Waiver Election | III. Extended Split-Waiver Election | IV. Applicability Date | V. Good Cause | I. Regulatory Planning and Review | II. Paperwork Reduction Act | III. Regulatory Flexibility Act | IV. Unfunded Mandates Reform Act | V. Executive Order 13132: Federalism
IRS-2020-0020-0010,"Federal Register, Volume 85 Issue 168 (Friday, August 28, 2020)",1,Main Content
